   0.00000000      0.574679315    
   5.00000007E-02  0.784100294    
  0.100000001      0.943634033    
  0.150000006       1.05903196    
  0.200000003       1.13604498    
  0.250000000       1.18042469    
  0.300000012       1.19792223    
  0.349999994       1.19428897    
  0.400000006       1.17527580    
  0.449999988       1.14663482    
  0.500000000       1.11411619    
  0.550000012       1.08347201    
  0.600000024       1.06045318    
  0.649999976       1.05081105    
  0.699999988       1.06029701    
  0.750000000       1.09466219    
  0.800000012       1.15965724    
  0.850000024       1.26103449    
  0.899999976       1.40454483    
  0.949999988       1.59593964    
   1.00000000       1.84097004    
