   0.00000000      0.574661195    
   5.00000007E-02  0.784092367    
  0.100000001      0.943633795    
  0.150000006       1.05903709    
  0.200000003       1.13605356    
  0.250000000       1.18043518    
  0.300000012       1.19793296    
  0.349999994       1.19429874    
  0.400000006       1.17528391    
  0.449999988       1.14664030    
  0.500000000       1.11411905    
  0.550000012       1.08347201    
  0.600000024       1.06045032    
  0.649999976       1.05080605    
  0.699999988       1.06029010    
  0.750000000       1.09465432    
  0.800000012       1.15964985    
  0.850000024       1.26102924    
  0.899999976       1.40454340    
  0.949999988       1.59594393    
   1.00000000       1.84098196    
